ID,Energy
2023-01-01 06:00:00_B_0,63.279875097787546
2023-01-01 11:00:00_B_0,75.45392525019082
2023-01-01 12:00:00_B_0,74.10444706696094
2023-01-01 13:00:00_B_0,72.5294643067979
2023-01-01 23:00:00_B_0,79.08523690350172
2023-01-02 07:00:00_B_0,67.34220974152707
2023-01-02 19:00:00_B_0,83.38593337416476
2023-01-04 02:00:00_B_0,62.10797166205287
2023-01-04 05:00:00_B_0,57.92146994154626
2023-01-04 09:00:00_B_0,72.97694531072707
2023-01-04 13:00:00_B_0,71.2279654081357
2023-01-05 02:00:00_B_0,61.674246534272314
2023-01-05 06:00:00_B_0,61.553337542037774
2023-01-05 11:00:00_B_0,73.77026090319445
2023-01-05 13:00:00_B_0,70.87121121748866
2023-01-05 18:00:00_B_0,81.86334848366906
2023-01-06 06:00:00_B_0,61.404203423955416
2023-01-06 22:00:00_B_0,79.20897823327742
2023-01-07 10:00:00_B_0,73.64865806560188
2023-01-01 02:00:00_B_1,17.677300557549056
2023-01-01 09:00:00_B_1,17.56600651669756
2023-01-02 13:00:00_B_1,17.694511628536876
2023-01-02 15:00:00_B_1,17.95739941965906
2023-01-02 18:00:00_B_1,17.8303968292249
2023-01-03 01:00:00_B_1,18.49229724911411
2023-01-03 05:00:00_B_1,16.524955287237987
2023-01-03 13:00:00_B_1,17.74978100181132
2023-01-03 14:00:00_B_1,17.862267117811307
2023-01-03 17:00:00_B_1,18.020684036255805
2023-01-03 18:00:00_B_1,17.885666231922748
2023-01-03 23:00:00_B_1,19.166560055391162
2023-01-04 01:00:00_B_1,18.547566663298625
2023-01-04 03:00:00_B_1,17.168927586458075
2023-01-04 08:00:00_B_1,17.4407343041528
2023-01-04 09:00:00_B_1,17.73181366256055
2023-01-04 12:00:00_B_1,17.79582069417432
2023-01-04 16:00:00_B_1,18.14071629599882
2023-01-04 19:00:00_B_1,17.899161143082534
2023-01-04 22:00:00_B_1,18.962477831045184
2023-01-05 11:00:00_B_1,17.87924367831912
