ID,Energy
2023-01-01 06:00:00_B_0,62.53594309695339
2023-01-01 11:00:00_B_0,74.93307533871725
2023-01-01 12:00:00_B_0,73.7651030440331
2023-01-01 13:00:00_B_0,72.99043756174713
2023-01-01 23:00:00_B_0,79.50629103425848
2023-01-02 07:00:00_B_0,69.35906052070139
2023-01-02 19:00:00_B_0,86.23858580532578
2023-01-04 02:00:00_B_0,62.11261583866544
2023-01-04 05:00:00_B_0,57.89101222179363
2023-01-04 09:00:00_B_0,71.53407756272563
2023-01-04 13:00:00_B_0,73.60221824876679
2023-01-05 02:00:00_B_0,62.738062912582066
2023-01-05 06:00:00_B_0,61.02524218942965
2023-01-05 11:00:00_B_0,73.83965240493913
2023-01-05 13:00:00_B_0,72.11305549660217
2023-01-05 18:00:00_B_0,83.0428854680665
2023-01-06 06:00:00_B_0,61.960510846897165
2023-01-06 22:00:00_B_0,80.90639367658689
2023-01-07 10:00:00_B_0,75.70311690418589
2023-01-01 02:00:00_B_1,17.96979590966593
2023-01-01 09:00:00_B_1,17.105174982130773
2023-01-02 13:00:00_B_1,17.532163453168348
2023-01-02 15:00:00_B_1,17.75624166864985
2023-01-02 18:00:00_B_1,17.665630398059253
2023-01-03 01:00:00_B_1,18.409191038069196
2023-01-03 05:00:00_B_1,16.432203606116367
2023-01-03 13:00:00_B_1,17.51796131887276
2023-01-03 14:00:00_B_1,17.69669610415096
2023-01-03 17:00:00_B_1,18.312439990287075
2023-01-03 18:00:00_B_1,18.24288933385735
2023-01-03 23:00:00_B_1,19.33497682588602
2023-01-04 01:00:00_B_1,19.095762967601072
2023-01-04 03:00:00_B_1,17.63583130551299
2023-01-04 08:00:00_B_1,17.377271527664863
2023-01-04 09:00:00_B_1,17.530271467671355
2023-01-04 12:00:00_B_1,17.526789518493278
2023-01-04 16:00:00_B_1,18.635883123856075
2023-01-04 19:00:00_B_1,17.73118186808811
2023-01-04 22:00:00_B_1,19.18951606413125
2023-01-05 11:00:00_B_1,17.82660246627899
2023-01-05 18:00:00_B_1,18.215288061217056
2023-01-05 19:00:00_B_1,17.63264318220004
2023-01-05 20:00:00_B_1,17.964555925837875
2023-01-05 23:00:00_B_1,21.02524008452951
2023-01-06 03:00:00_B_1,16.904910460744823
2023-01-06 05:00:00_B_1,16.47119378681239
2023-01-06 17:00:00_B_1,17.893618251196862
2023-01-01 02:00:00_B_2,54.27684135968353
2023-01-01 05:00:00_B_2,53.06445412953748
2023-01-01 09:00:00_B_2,56.672859578095355
2023-01-02 03:00:00_B_2,53.481808290998735
2023-01-02 05:00:00_B_2,53.69023797069518
2023-01-02 10:00:00_B_2,58.0969160566189
2023-01-02 17:00:00_B_2,58.04267051320367
2023-01-02 20:00:00_B_2,60.329574693356975
2023-01-02 21:00:00_B_2,61.38002666841736
2023-01-03 08:00:00_B_2,55.89680551252727
2023-01-03 16:00:00_B_2,56.20632919563766
2023-01-03 19:00:00_B_2,59.286907360882225
2023-01-03 22:00:00_B_2,61.72224188774016
2023-01-04 11:00:00_B_2,55.92656338036082
2023-01-04 12:00:00_B_2,55.2385968987566
2023-01-04 17:00:00_B_2,57.57547207743442
2023-01-04 23:00:00_B_2,60.87458106426473
2023-01-05 00:00:00_B_2,59.03357337285204
2023-01-05 06:00:00_B_2,53.635852564202814
